sample,date
person_504869,2000-01-14
person_83869,2000-01-13
person_813911,2000-02-01
person_134206,2000-01-28
person_951272,2000-01-25
person_666090,2000-01-30
person_248142,2000-02-04
person_575683,2000-01-31
person_221388,2000-02-01
person_677490,2000-02-01
person_405517,2000-02-06
person_864270,2000-02-07
person_833491,2000-02-08
person_962521,2000-02-16
person_300772,2000-02-15
person_347887,2000-02-16
person_7361,2000-02-17
person_315357,2000-02-19
person_994006,2000-02-17
person_442111,2000-02-18
person_805439,2000-02-18
person_327205,2000-02-23
person_52706,2000-02-23
person_251177,2000-02-18
person_48021,2000-02-21
person_495578,2000-02-20
person_770284,2000-02-29
person_935881,2000-02-27
person_933680,2000-02-23
person_365498,2000-02-24
person_362912,2000-02-26
person_367181,2000-02-21
person_821545,2000-02-28
person_540,2000-02-27
person_38245,2000-02-24
person_939004,2000-02-22
person_119399,2000-02-26
person_488221,2000-02-24
person_986468,2000-02-22
person_812484,2000-02-22
person_42938,2000-02-26
person_36273,2000-02-24
person_540461,2000-02-28
person_388172,2000-02-27
person_24658,2000-02-24
person_833356,2000-02-27
person_500558,2000-02-24
person_976462,2000-02-25
person_550486,2000-02-29
person_902229,2000-02-29
