sample,date
person_689243,2000-01-17
person_248252,2000-01-12
person_786298,2000-01-22
person_280648,2000-01-14
person_15799,2000-01-19
person_522507,2000-01-14
person_813590,2000-01-16
person_324506,2000-01-21
person_56483,2000-01-20
person_488679,2000-01-15
person_799180,2000-01-20
person_535038,2000-01-17
person_10963,2000-01-18
person_822863,2000-01-20
person_135928,2000-01-23
person_856099,2000-01-24
person_364456,2000-01-25
person_324826,2000-01-22
person_27028,2000-01-21
person_57539,2000-01-23
person_656939,2000-01-18
person_888089,2000-01-19
person_455534,2000-01-21
person_655068,2000-01-21
person_911143,2000-01-23
person_840075,2000-01-24
person_213784,2000-01-24
person_746349,2000-01-25
person_981765,2000-01-24
person_171645,2000-01-25
person_914428,2000-01-25
person_372430,2000-01-25
person_286216,2000-01-24
person_578731,2000-01-22
person_593799,2000-01-24
person_480165,2000-01-25
person_953612,2000-01-23
person_93267,2000-01-23
person_754429,2000-01-20
person_656261,2000-01-23
person_472552,2000-01-24
person_637165,2000-01-22
person_509765,2000-01-25
person_876486,2000-01-21
person_871367,2000-01-23
person_98952,2000-01-25
person_462452,2000-01-25
person_965600,2000-01-24
person_7957,2000-01-23
person_634925,2000-01-25
