sample,date
person_385822,2000-01-09
person_667000,2000-01-11
person_919180,2000-01-11
person_610428,2000-01-17
person_916430,2000-01-18
person_481348,2000-01-16
person_376769,2000-01-14
person_759723,2000-01-16
person_943164,2000-01-18
person_968353,2000-01-23
person_5750,2000-01-17
person_704667,2000-01-18
person_432709,2000-01-16
person_783127,2000-01-22
person_782059,2000-01-26
person_912713,2000-01-24
person_36252,2000-01-23
person_375169,2000-01-23
person_716832,2000-01-22
person_256897,2000-01-20
person_517100,2000-01-23
person_605662,2000-01-23
person_321347,2000-01-26
person_584773,2000-01-26
person_594687,2000-01-24
person_566756,2000-01-27
person_472146,2000-01-28
person_485624,2000-01-29
person_269202,2000-01-25
person_460820,2000-01-30
person_327688,2000-01-28
person_227984,2000-01-24
person_118259,2000-02-01
person_355315,2000-01-29
person_336867,2000-01-28
person_700107,2000-02-01
person_231776,2000-01-28
person_276770,2000-02-03
person_331560,2000-01-30
person_169442,2000-01-31
person_313757,2000-01-25
person_467655,2000-01-29
person_80439,2000-01-28
person_795270,2000-02-03
person_411846,2000-01-30
person_582513,2000-02-02
person_641207,2000-02-01
person_752707,2000-02-02
person_853423,2000-02-03
person_323955,2000-02-03
