sample,date
person_16645,2000-01-09
person_971993,2000-01-12
person_763243,2000-01-09
person_784117,2000-01-12
person_738822,2000-01-15
person_130839,2000-01-14
person_702883,2000-01-18
person_21688,2000-01-12
person_377021,2000-01-16
person_120976,2000-01-11
person_681901,2000-01-10
person_783371,2000-01-12
person_242322,2000-01-14
person_111514,2000-01-16
person_169170,2000-01-12
person_834252,2000-01-19
person_528596,2000-01-21
person_134456,2000-01-17
person_852339,2000-01-14
person_668372,2000-01-19
person_782803,2000-01-20
person_412995,2000-01-20
person_564962,2000-01-16
person_201473,2000-01-18
person_759451,2000-01-14
person_955082,2000-01-20
person_583418,2000-01-19
person_201051,2000-01-16
person_656565,2000-01-15
person_782646,2000-01-17
person_557381,2000-01-19
person_263251,2000-01-18
person_219084,2000-01-16
person_361058,2000-01-20
person_193222,2000-01-20
person_899403,2000-01-21
person_402796,2000-01-20
person_50571,2000-01-20
person_38654,2000-01-20
person_930773,2000-01-21
person_338952,2000-01-18
person_254523,2000-01-21
person_651948,2000-01-20
person_77627,2000-01-21
person_585433,2000-01-21
person_350193,2000-01-19
person_894155,2000-01-19
person_890104,2000-01-19
person_330897,2000-01-21
person_807949,2000-01-21
