sample,date
person_784654,2000-01-08
person_648851,2000-01-15
person_714145,2000-01-14
person_649543,2000-01-19
person_507810,2000-01-16
person_10433,2000-01-21
person_935700,2000-01-27
person_978292,2000-02-02
person_836163,2000-01-20
person_245506,2000-02-04
person_908834,2000-01-28
person_404829,2000-02-09
person_253125,2000-01-27
person_945684,2000-01-29
person_53100,2000-01-30
person_776874,2000-02-03
person_62537,2000-02-01
person_903873,2000-02-05
person_938792,2000-02-03
person_197470,2000-01-31
person_642376,2000-01-28
person_742855,2000-02-06
person_817393,2000-02-04
person_976885,2000-02-04
person_298764,2000-02-02
person_818116,2000-02-08
person_943912,2000-02-07
person_818121,2000-02-01
person_251973,2000-02-03
person_755930,2000-02-08
person_35437,2000-02-04
person_462509,2000-02-08
person_113326,2000-02-09
person_914781,2000-02-09
person_493040,2000-02-03
person_99481,2000-02-09
person_374857,2000-02-02
person_366892,2000-02-05
person_565634,2000-02-03
person_175246,2000-02-08
person_527329,2000-02-08
person_261591,2000-02-07
person_567328,2000-02-09
person_313392,2000-02-09
person_285248,2000-02-08
person_699625,2000-02-08
person_536553,2000-02-09
person_459091,2000-02-09
person_162540,2000-02-09
person_989228,2000-02-09
