sample,date
person_101251,2000-01-11
person_563999,2000-01-21
person_213717,2000-01-11
person_285574,2000-01-18
person_309234,2000-01-14
person_86002,2000-01-16
person_907439,2000-01-14
person_502139,2000-01-15
person_171934,2000-01-21
person_403617,2000-01-16
person_886400,2000-01-17
person_765990,2000-01-20
person_194966,2000-01-19
person_250732,2000-01-24
person_77522,2000-01-18
person_9577,2000-01-21
person_727771,2000-01-21
person_399244,2000-01-19
person_485709,2000-01-26
person_148766,2000-01-23
person_738080,2000-01-22
person_221799,2000-01-21
person_501075,2000-01-23
person_276366,2000-01-23
person_207787,2000-01-19
person_40228,2000-01-22
person_983771,2000-01-28
person_813024,2000-01-23
person_696414,2000-01-21
person_669847,2000-01-24
person_704648,2000-01-25
person_609938,2000-01-24
person_405650,2000-01-25
person_882011,2000-01-22
person_350955,2000-01-24
person_203844,2000-01-25
person_528903,2000-01-24
person_544920,2000-01-24
person_71867,2000-01-24
person_81059,2000-01-26
person_477646,2000-01-27
person_795815,2000-01-27
person_105850,2000-01-26
person_903445,2000-01-27
person_171958,2000-01-27
person_122594,2000-01-25
person_195922,2000-01-25
person_844702,2000-01-27
person_86615,2000-01-26
person_893414,2000-01-27
