sample,date
person_850264,2000-01-14
person_268698,2000-01-13
person_553629,2000-01-20
person_202926,2000-01-29
person_547883,2000-01-19
person_182284,2000-01-22
person_901577,2000-01-24
person_383371,2000-01-22
person_655812,2000-01-25
person_81250,2000-01-21
person_718079,2000-01-25
person_499445,2000-01-26
person_20742,2000-01-29
person_786135,2000-01-30
person_1960,2000-01-31
person_591006,2000-01-24
person_142208,2000-01-29
person_739994,2000-01-27
person_102661,2000-02-03
person_151771,2000-01-31
person_415619,2000-01-27
person_417536,2000-01-26
person_31461,2000-01-27
person_177077,2000-01-26
person_223639,2000-01-30
person_288707,2000-01-28
person_58306,2000-01-27
person_536512,2000-01-29
person_415263,2000-02-01
person_238595,2000-02-01
person_795120,2000-01-31
person_376683,2000-01-31
person_234436,2000-01-31
person_16105,2000-02-01
person_665190,2000-01-29
person_297555,2000-01-30
person_661923,2000-01-30
person_885695,2000-02-01
person_851947,2000-01-31
person_615248,2000-01-30
person_819490,2000-01-30
person_671321,2000-02-01
person_228003,2000-02-02
person_912776,2000-02-02
person_377371,2000-02-02
person_324925,2000-02-01
person_704257,2000-02-02
person_802912,2000-02-01
person_821927,2000-02-02
person_224030,2000-02-02
