sample,date
person_402199,2000-01-13
person_157144,2000-01-14
person_938454,2000-01-19
person_339931,2000-01-20
person_555451,2000-01-19
person_526138,2000-01-21
person_166637,2000-01-19
person_825708,2000-01-23
person_939601,2000-01-22
person_300741,2000-01-21
person_766522,2000-01-23
person_906683,2000-01-16
person_523788,2000-01-21
person_546440,2000-01-18
person_894959,2000-01-23
person_961798,2000-01-21
person_333540,2000-01-22
person_697101,2000-01-27
person_732855,2000-01-20
person_339566,2000-01-18
person_462247,2000-01-24
person_687443,2000-01-23
person_945971,2000-01-26
person_561525,2000-01-26
person_604947,2000-01-24
person_35226,2000-01-22
person_903926,2000-01-23
person_991141,2000-01-22
person_672221,2000-01-25
person_495590,2000-01-27
person_521620,2000-01-26
person_502507,2000-01-23
person_444223,2000-01-29
person_840388,2000-01-26
person_538392,2000-01-25
person_181608,2000-01-27
person_628750,2000-01-27
person_186226,2000-01-28
person_168321,2000-01-26
person_76633,2000-01-26
person_473019,2000-01-28
person_806386,2000-01-29
person_988536,2000-01-27
person_790108,2000-01-27
person_869352,2000-01-29
person_546134,2000-01-28
person_125816,2000-01-28
person_817082,2000-01-28
person_733999,2000-01-29
person_130468,2000-01-28
