sample,date
person_590770,2000-01-10
person_96544,2000-01-16
person_597326,2000-01-16
person_212248,2000-01-24
person_285234,2000-01-23
person_43420,2000-02-01
person_730673,2000-01-29
person_998075,2000-01-27
person_511430,2000-01-28
person_974856,2000-01-22
person_188412,2000-01-28
person_971993,2000-02-01
person_914698,2000-02-04
person_409462,2000-01-28
person_962430,2000-02-05
person_241531,2000-02-01
person_50357,2000-02-04
person_625133,2000-02-02
person_636517,2000-02-03
person_463473,2000-01-28
person_129829,2000-02-04
person_670868,2000-01-31
person_638735,2000-02-07
person_41181,2000-02-02
person_925843,2000-02-01
person_99386,2000-02-05
person_193857,2000-02-05
person_392847,2000-02-04
person_217789,2000-02-01
person_211285,2000-02-03
person_464900,2000-02-03
person_687101,2000-02-03
person_970749,2000-02-07
person_226251,2000-02-06
person_218131,2000-02-07
person_712444,2000-02-04
person_465147,2000-02-05
person_817560,2000-02-03
person_41712,2000-02-03
person_391712,2000-02-05
person_789295,2000-02-07
person_801153,2000-02-05
person_144827,2000-02-07
person_758660,2000-02-07
person_595741,2000-02-05
person_179357,2000-02-07
person_745552,2000-02-04
person_925432,2000-02-07
person_312378,2000-02-06
person_431129,2000-02-07
