sample,date
person_859207,2000-01-08
person_670153,2000-01-20
person_519176,2000-01-21
person_257756,2000-01-15
person_558336,2000-01-16
person_20742,2000-01-18
person_33782,2000-01-10
person_710106,2000-01-18
person_384303,2000-01-18
person_186051,2000-01-23
person_208703,2000-01-24
person_541514,2000-01-24
person_757304,2000-01-18
person_706992,2000-01-20
person_659291,2000-01-19
person_647442,2000-01-21
person_511960,2000-01-22
person_873515,2000-01-20
person_533556,2000-01-23
person_948948,2000-01-22
person_481115,2000-01-18
person_403668,2000-01-24
person_721523,2000-01-25
person_338245,2000-01-26
person_532823,2000-01-22
person_158957,2000-01-25
person_259424,2000-01-24
person_785395,2000-01-24
person_508328,2000-01-24
person_941164,2000-01-26
person_901151,2000-01-25
person_865887,2000-01-23
person_503111,2000-01-25
person_598474,2000-01-25
person_542434,2000-01-23
person_256727,2000-01-23
person_746303,2000-01-24
person_800203,2000-01-26
person_632281,2000-01-26
person_305693,2000-01-24
person_287485,2000-01-26
person_750227,2000-01-26
person_544283,2000-01-26
person_264353,2000-01-25
person_710537,2000-01-23
person_545887,2000-01-26
person_57739,2000-01-26
person_406259,2000-01-24
person_848643,2000-01-25
person_178226,2000-01-26
