sample,date
person_590890,2000-01-16
person_75921,2000-01-14
person_277779,2000-01-13
person_250172,2000-01-18
person_460503,2000-01-15
person_325569,2000-01-16
person_571302,2000-01-21
person_547210,2000-01-20
person_725998,2000-01-22
person_457559,2000-01-18
person_960474,2000-01-16
person_556167,2000-01-21
person_942971,2000-01-14
person_906370,2000-01-19
person_982547,2000-01-22
person_440809,2000-01-20
person_471120,2000-01-21
person_974198,2000-01-23
person_737356,2000-01-18
person_108825,2000-01-22
person_339138,2000-01-19
person_730576,2000-01-20
person_841854,2000-01-18
person_255169,2000-01-21
person_901770,2000-01-24
person_645833,2000-01-22
person_491215,2000-01-18
person_6547,2000-01-21
person_194477,2000-01-24
person_662683,2000-01-19
person_854443,2000-01-20
person_264477,2000-01-23
person_796908,2000-01-20
person_467706,2000-01-23
person_888025,2000-01-21
person_232147,2000-01-22
person_272486,2000-01-21
person_237329,2000-01-22
person_129234,2000-01-21
person_506695,2000-01-20
person_373933,2000-01-23
person_636312,2000-01-21
person_664609,2000-01-23
person_33928,2000-01-21
person_576589,2000-01-22
person_212041,2000-01-24
person_784898,2000-01-24
person_729830,2000-01-23
person_744811,2000-01-23
person_251345,2000-01-24
