sample,date
person_270373,2000-01-13
person_284450,2000-01-12
person_536492,2000-01-16
person_961313,2000-01-15
person_66394,2000-01-19
person_493226,2000-01-15
person_415342,2000-01-23
person_586136,2000-01-21
person_829003,2000-01-23
person_541490,2000-01-19
person_742010,2000-01-21
person_519306,2000-01-26
person_957061,2000-01-18
person_531419,2000-01-19
person_753567,2000-01-22
person_810882,2000-01-17
person_556729,2000-01-22
person_247870,2000-01-30
person_246557,2000-01-24
person_936746,2000-01-26
person_910063,2000-01-31
person_416639,2000-01-23
person_379645,2000-01-25
person_498713,2000-01-28
person_170643,2000-01-24
person_10624,2000-01-24
person_309839,2000-01-30
person_663771,2000-01-30
person_650654,2000-01-27
person_590548,2000-01-29
person_312650,2000-01-26
person_727060,2000-01-30
person_87937,2000-02-01
person_156890,2000-01-28
person_969856,2000-01-27
person_820976,2000-01-28
person_628965,2000-01-29
person_198411,2000-01-31
person_196921,2000-01-27
person_205424,2000-01-25
person_884079,2000-01-28
person_814940,2000-01-26
person_343417,2000-01-28
person_141544,2000-01-29
person_493589,2000-01-30
person_190469,2000-01-30
person_754156,2000-01-30
person_183641,2000-01-30
person_699480,2000-01-31
person_4973,2000-01-31
