sample,date
person_141405,2000-01-09
person_668711,2000-01-09
person_810274,2000-01-11
person_4063,2000-01-08
person_286000,2000-01-10
person_900492,2000-01-14
person_9377,2000-01-14
person_853645,2000-01-13
person_963705,2000-01-16
person_866025,2000-01-15
person_664610,2000-01-12
person_962969,2000-01-20
person_406110,2000-01-15
person_764989,2000-01-20
person_656065,2000-01-15
person_543980,2000-01-17
person_119789,2000-01-17
person_241541,2000-01-19
person_823589,2000-01-24
person_782741,2000-01-17
person_739621,2000-01-19
person_112777,2000-01-22
person_343036,2000-01-19
person_382550,2000-01-22
person_977970,2000-01-20
person_96408,2000-01-22
person_181614,2000-01-24
person_719944,2000-01-20
person_839201,2000-01-17
person_300482,2000-01-23
person_844634,2000-01-24
person_55259,2000-01-23
person_638921,2000-01-25
person_903186,2000-01-23
person_709713,2000-01-24
person_567631,2000-01-24
person_320357,2000-01-23
person_569319,2000-01-22
person_225485,2000-01-24
person_139905,2000-01-25
person_880351,2000-01-23
person_404485,2000-01-23
person_626420,2000-01-25
person_607462,2000-01-24
person_55516,2000-01-22
person_24975,2000-01-25
person_64068,2000-01-24
person_404796,2000-01-23
person_716910,2000-01-24
person_360557,2000-01-25
