sample,date
person_325611,2000-01-09
person_671711,2000-01-12
person_112129,2000-01-17
person_792050,2000-01-19
person_612145,2000-01-16
person_664860,2000-01-13
person_284893,2000-01-19
person_761989,2000-01-17
person_738296,2000-01-19
person_622827,2000-01-16
person_582015,2000-01-20
person_551632,2000-01-16
person_134979,2000-01-17
person_160004,2000-01-19
person_780878,2000-01-18
person_567778,2000-01-23
person_726178,2000-01-21
person_982986,2000-01-18
person_857160,2000-01-28
person_305445,2000-01-21
person_214305,2000-01-21
person_156417,2000-01-24
person_256554,2000-01-24
person_290093,2000-01-26
person_856108,2000-01-20
person_133109,2000-01-21
person_858011,2000-01-27
person_906827,2000-01-23
person_211749,2000-01-27
person_204953,2000-01-23
person_580389,2000-01-25
person_706006,2000-01-25
person_390656,2000-01-24
person_262626,2000-01-27
person_691473,2000-01-28
person_834213,2000-01-28
person_490262,2000-01-28
person_419567,2000-01-26
person_560323,2000-01-25
person_66648,2000-01-26
person_181215,2000-01-28
person_953176,2000-01-23
person_901207,2000-01-28
person_318356,2000-01-26
person_700604,2000-01-26
person_433393,2000-01-30
person_691944,2000-01-27
person_91381,2000-01-29
person_544789,2000-01-30
person_74652,2000-01-28
