sample,date
person_164473,2000-01-08
person_596066,2000-01-04
person_877277,2000-01-15
person_840415,2000-01-12
person_160110,2000-01-16
person_659147,2000-01-18
person_717365,2000-01-22
person_964970,2000-01-20
person_804537,2000-01-17
person_271532,2000-01-19
person_785897,2000-01-23
person_101069,2000-01-26
person_824539,2000-01-21
person_452812,2000-01-24
person_212516,2000-01-20
person_201432,2000-01-21
person_215533,2000-01-26
person_324329,2000-01-25
person_163745,2000-01-26
person_599444,2000-01-28
person_388103,2000-01-27
person_937537,2000-01-25
person_828697,2000-01-26
person_129890,2000-01-27
person_445187,2000-01-30
person_122446,2000-01-29
person_462856,2000-01-29
person_338811,2000-01-30
person_945865,2000-01-29
person_995983,2000-01-29
person_554658,2000-01-28
person_988612,2000-01-28
person_314132,2000-01-29
person_385108,2000-01-29
person_954009,2000-01-26
person_299317,2000-01-29
person_480466,2000-01-30
person_346173,2000-01-28
person_10393,2000-01-29
person_720192,2000-01-28
person_655095,2000-01-29
person_51277,2000-01-28
person_431450,2000-01-28
person_35976,2000-01-28
person_149530,2000-01-30
person_249484,2000-01-30
person_562496,2000-01-29
person_129588,2000-01-30
person_307252,2000-01-30
person_494315,2000-01-30
