sample,date
person_389877,2000-01-06
person_964331,2000-01-10
person_828976,2000-01-19
person_778437,2000-01-14
person_949117,2000-01-12
person_61494,2000-01-14
person_954571,2000-01-18
person_231503,2000-01-21
person_176988,2000-01-17
person_457091,2000-01-15
person_592214,2000-01-22
person_587305,2000-01-18
person_124174,2000-01-23
person_868203,2000-01-19
person_803887,2000-01-20
person_854721,2000-01-21
person_800360,2000-01-17
person_607706,2000-01-23
person_524607,2000-01-21
person_256897,2000-01-26
person_519783,2000-01-22
person_525392,2000-01-20
person_834738,2000-01-26
person_686997,2000-01-25
person_12334,2000-01-26
person_437809,2000-01-25
person_701706,2000-01-28
person_503722,2000-01-24
person_982459,2000-01-26
person_615642,2000-01-23
person_248310,2000-01-24
person_984357,2000-01-23
person_875332,2000-01-26
person_606757,2000-01-24
person_250166,2000-01-27
person_707379,2000-01-26
person_511333,2000-01-26
person_157078,2000-01-28
person_600108,2000-01-26
person_638333,2000-01-25
person_105082,2000-01-22
person_150507,2000-01-29
person_154828,2000-01-27
person_26641,2000-01-29
person_224880,2000-01-25
person_864325,2000-01-27
person_359014,2000-01-27
person_292596,2000-01-28
person_646734,2000-01-29
person_773329,2000-01-29
