sample,date
person_310638,2000-01-14
person_714500,2000-01-11
person_127417,2000-01-08
person_495670,2000-01-08
person_769021,2000-01-11
person_179361,2000-01-08
person_442504,2000-01-09
person_999268,2000-01-13
person_121096,2000-01-10
person_219364,2000-01-13
person_546131,2000-01-12
person_997363,2000-01-13
person_558202,2000-01-16
person_916246,2000-01-13
person_814018,2000-01-14
person_633947,2000-01-22
person_487554,2000-01-17
person_825905,2000-01-15
person_756215,2000-01-18
person_738986,2000-01-21
person_712889,2000-01-20
person_24454,2000-01-17
person_141650,2000-01-17
person_52973,2000-01-19
person_706482,2000-01-19
person_692288,2000-01-23
person_217244,2000-01-18
person_938137,2000-01-22
person_392648,2000-01-18
person_787329,2000-01-16
person_136780,2000-01-21
person_446722,2000-01-21
person_430687,2000-01-19
person_173679,2000-01-23
person_291229,2000-01-18
person_319839,2000-01-20
person_728140,2000-01-21
person_852172,2000-01-24
person_930915,2000-01-18
person_388402,2000-01-20
person_711022,2000-01-20
person_840975,2000-01-24
person_7783,2000-01-24
person_797433,2000-01-21
person_651497,2000-01-24
person_90862,2000-01-23
person_212732,2000-01-25
person_934978,2000-01-22
person_992226,2000-01-25
person_395716,2000-01-23
