sample,date
person_851746,2000-01-13
person_582182,2000-01-11
person_444110,2000-01-14
person_704690,2000-01-16
person_624540,2000-01-16
person_528714,2000-01-17
person_705567,2000-01-19
person_542717,2000-01-24
person_757679,2000-01-18
person_779346,2000-01-22
person_609947,2000-01-25
person_813068,2000-01-26
person_329549,2000-01-21
person_282087,2000-01-21
person_548759,2000-01-27
person_699140,2000-01-21
person_415845,2000-01-30
person_154736,2000-01-24
person_479422,2000-01-27
person_377331,2000-01-30
person_453866,2000-01-27
person_4001,2000-01-27
person_733105,2000-01-26
person_249555,2000-01-28
person_651133,2000-01-28
person_780608,2000-01-30
person_432623,2000-01-25
person_976515,2000-01-26
person_774322,2000-02-01
person_548140,2000-01-31
person_131309,2000-01-25
person_195941,2000-02-01
person_545716,2000-01-28
person_432669,2000-01-31
person_925569,2000-01-30
person_212660,2000-01-27
person_769941,2000-01-30
person_360875,2000-01-28
person_34110,2000-01-30
person_381247,2000-01-28
person_575866,2000-01-31
person_605522,2000-01-28
person_657661,2000-02-01
person_908582,2000-01-30
person_277152,2000-01-31
person_776398,2000-01-29
person_549706,2000-01-31
person_651694,2000-01-31
person_940008,2000-01-31
person_994558,2000-01-31
