sample,date
person_757117,2000-01-08
person_991716,2000-01-13
person_393682,2000-01-05
person_121670,2000-01-09
person_914405,2000-01-12
person_657777,2000-01-17
person_561175,2000-01-17
person_858592,2000-01-11
person_190901,2000-01-17
person_699650,2000-01-15
person_701813,2000-01-15
person_207048,2000-01-16
person_901659,2000-01-15
person_761342,2000-01-16
person_720762,2000-01-17
person_173635,2000-01-17
person_809014,2000-01-18
person_714318,2000-01-18
person_476115,2000-01-16
person_433809,2000-01-15
person_835470,2000-01-18
person_405661,2000-01-18
person_322913,2000-01-15
person_940815,2000-01-15
person_228476,2000-01-17
person_925397,2000-01-17
person_98991,2000-01-15
person_518943,2000-01-15
person_817533,2000-01-17
person_340890,2000-01-18
person_356122,2000-01-18
person_208920,2000-01-16
person_398047,2000-01-14
person_831261,2000-01-15
person_669996,2000-01-18
person_698173,2000-01-17
person_673565,2000-01-17
person_454512,2000-01-18
person_988366,2000-01-17
person_73947,2000-01-18
person_101964,2000-01-16
person_749224,2000-01-18
person_671116,2000-01-17
person_416996,2000-01-18
person_160851,2000-01-17
person_952165,2000-01-18
person_801680,2000-01-17
person_891318,2000-01-18
person_594027,2000-01-17
person_884526,2000-01-18
