sample,date
person_531437,2000-01-09
person_566512,2000-01-18
person_31960,2000-01-25
person_343003,2000-01-29
person_294930,2000-01-28
person_750795,2000-01-30
person_611580,2000-02-01
person_763032,2000-01-30
person_442602,2000-01-27
person_991964,2000-01-30
person_394927,2000-01-27
person_897611,2000-02-01
person_739785,2000-02-01
person_322569,2000-02-05
person_302446,2000-02-02
person_265070,2000-01-28
person_782330,2000-02-06
person_622064,2000-01-31
person_103041,2000-02-07
person_220645,2000-02-03
person_256645,2000-02-01
person_422214,2000-02-04
person_72217,2000-01-31
person_753654,2000-02-05
person_942199,2000-02-03
person_318652,2000-02-03
person_683317,2000-02-04
person_816209,2000-02-03
person_809804,2000-02-05
person_869980,2000-02-05
person_885890,2000-02-04
person_122392,2000-02-06
person_941823,2000-02-06
person_273559,2000-02-05
person_316466,2000-02-08
person_67058,2000-02-06
person_47910,2000-02-07
person_665994,2000-02-07
person_226267,2000-02-05
person_264890,2000-02-05
person_355717,2000-02-06
person_693708,2000-02-07
person_810424,2000-02-07
person_739155,2000-02-06
person_618662,2000-02-07
person_700362,2000-02-07
person_329150,2000-02-04
person_999039,2000-02-07
person_884811,2000-02-08
person_400380,2000-02-07
