sample,date
person_107075,2000-01-10
person_760733,2000-01-10
person_704383,2000-01-18
person_120890,2000-01-20
person_884146,2000-01-14
person_194845,2000-01-19
person_604340,2000-01-17
person_538518,2000-01-17
person_120364,2000-01-18
person_512959,2000-01-21
person_198622,2000-01-18
person_334570,2000-01-25
person_464906,2000-01-24
person_996544,2000-01-26
person_43991,2000-01-23
person_466716,2000-01-17
person_431766,2000-01-21
person_693475,2000-01-20
person_657625,2000-01-26
person_886987,2000-01-27
person_612111,2000-01-23
person_955228,2000-01-29
person_376103,2000-01-29
person_49386,2000-01-26
person_415649,2000-01-25
person_952531,2000-01-24
person_353848,2000-01-23
person_112592,2000-01-24
person_478126,2000-01-30
person_129586,2000-01-28
person_365038,2000-01-27
person_797238,2000-01-29
person_360623,2000-01-25
person_549255,2000-01-29
person_775745,2000-01-26
person_415908,2000-01-28
person_684397,2000-01-29
person_193408,2000-01-30
person_881197,2000-01-27
person_656762,2000-01-26
person_739810,2000-01-26
person_641708,2000-01-30
person_350691,2000-01-28
person_465927,2000-01-27
person_390525,2000-01-30
person_307543,2000-01-29
person_687958,2000-01-28
person_811821,2000-01-28
person_785200,2000-01-30
person_749530,2000-01-30
